"","userid","dealamount","lastname","firstname","source","status","rep","company","firstcontact","won"
"1",40695911,40000,"el-Fahs","Faatin","Webinar","Closed Won","Angelo","Great Products Inc.",2012-03-29,1
"2",54291696,100000,"Mian","Tareef","Social","Prospect","Haamida","Great Enterprises LLC",2014-04-25,0
"3",45785285,10000,"Younger","Camille","Webinar","Suspect","Rachelle","Popular Partners LLP",2012-11-24,0
"4",52495074,10000,"Zhang","Lakisha","Webinar","Lead","Shay","Popular Partners LLC",2017-10-03,0
"5",41896240,90000,"Hughes","Marco","Email","Proposal","Rachelle","Wonderful Products Inc.",2014-01-21,0
"6",81100096,100000,"al-Rahim","Haley","Web","Closed Won","Rachelle","Wonderful Enterprises LLC",2012-04-23,1
"7",74331599,50000,"Garcia","Razeen","Email","Closed Won","Rachelle","Wonderful Partners LLC",2014-06-22,1
"8",72757944,70000,"al-Azimi","Hanna","Web","Negotiation","Haamida","Popular Services Inc.",2014-09-05,0
"9",88638391,100000,"Lanier","Jesse","Conference","Suspect","Angelo","Wonderful Goods LLC",2017-09-08,0
"10",63884879,100000,"Palmer","Zakariyya","Conference","Lead","Rachelle","Great Enterprises LLC",2012-12-03,0
"11",17795296,60000,"Hawthorne","Bryce","Email","Lead","Shay","Wonderful Enterprises LLC",2014-07-30,0
"12",40931394,40000,"Stirmers","Eric","Conference","Prospect","Johnson","Great Goods Inc.",2013-02-14,0
"13",44557031,30000,"al-Mohiuddin","Aamir","Social","Closed Lost","Johnson","Popular Enterprises Inc.",2013-02-19,0
"14",85133813,30000,"el-Miah","Devin","Trade Show","Closed Lost","Rachelle","Great Partners Inc.",2014-08-03,0
"15",70549740,90000,"al-Hafeez","Cydnie","Social","Negotiation","Rachelle","Wonderful Partners LLP",2014-04-29,0
"16",99055644,100000,"Landry","Hoangcung","Social","Prospect","Hunter","Popular Products Inc.",2016-11-23,0
"17",17796274,70000,"el-Jama","Taylor","Webinar","Proposal","Nestor","Popular Partners LLP",2014-10-27,0
"18",61594941,10000,"Watkins","Long","Trade Show","Opportunity","Angelo","Great Services LLP",2014-12-18,0
"19",3784858,80000,"Reynolds","Fat'hiyaa","Social","Closed Lost","Haamida","Wonderful Services LLC",2012-03-19,0
"20",71402451,60000,"el-Hasen","Jessica","Trade Show","Negotiation","Angelo","Popular Goods LLP",2015-09-04,0
"21",3421674,90000,"Quick Bear","Kareema","Email","Proposal","Nestor","Wonderful Enterprises LLP",2012-06-01,0
"22",4663635,10000,"al-Haq","Treivonne","Referral","Opportunity","Rachelle","Great Products LLC",2013-03-02,0
"23",38391826,100000,"Wake","Ethan","Webinar","Proposal","Victor","Great Services LLC",2017-03-02,0
"24",79744996,10000,"Vigil","Bernadette","Web","Proposal","Hunter","Great Goods LLC",2016-03-02,0
"25",32173318,90000,"Pooley","Kendra","Trade Show","Lead","Hunter","Popular Products LLP",2016-05-12,0
"26",33144985,90000,"Blais","Sierra","Paid Ads","Closed Won","Victor","Wonderful Services LLC",2015-08-09,1
"27",40687407,50000,"Mcclelland","Jarod","Email","Suspect","Hunter","Popular Products Inc.",2016-03-28,0
"28",87416259,100000,"John","Dominick","Web","Opportunity","Shay","Great Goods LLC",2013-10-29,0
"29",37713328,20000,"Sami","Della","Email","Opportunity","Haamida","Popular Goods LLC",2017-11-08,0
"30",98075288,60000,"Gehring","Sandi","Conference","Negotiation","Johnson","Wonderful Partners Inc.",2017-09-07,0
"31",8638466,80000,"Williams Roberson","Austin","Paid Ads","Closed Won","Nestor","Popular Services LLC",2014-01-20,1
"32",58367196,20000,"Rojas-Hernandez","Cindy","Web","Suspect","Johnson","Wonderful Services Inc.",2013-07-03,0
"33",45055780,70000,"el-Malak","Azia","Email","Opportunity","Angelo","Great Enterprises LLC",2014-11-05,0
"34",37972641,100000,"Vu","Michael","Referral","Closed Won","Haamida","Great Products Inc.",2017-07-02,1
"35",4472236,50000,"Li","Arun","Webinar","Opportunity","Nestor","Wonderful Partners LLC",2013-11-07,0
"36",36785952,100000,"Tran","Khairiya","Trade Show","Opportunity","Victor","Wonderful Goods LLP",2013-11-24,0
"37",37390947,70000,"Hoang","Mattea","Referral","Lead","Johnson","Great Partners LLP",2013-05-15,0
"38",56004106,90000,"Rosenburg-Green","Francisco","Social","Suspect","Shay","Great Partners LLP",2014-12-14,0
"39",74181880,20000,"Akers","Aaron","Webinar","Proposal","Hunter","Wonderful Enterprises LLP",2017-04-27,0
"40",25786681,30000,"el-Omer","Amanda","Paid Ads","Negotiation","Rachelle","Great Enterprises LLC",2013-03-29,0
"41",28640935,30000,"Guerrero","Michael","Social","Prospect","Johnson","Wonderful Enterprises LLP",2015-12-03,0
"42",917230,40000,"Maldonado","Razeen","Social","Lead","Johnson","Great Services Inc.",2016-03-24,0
"43",69977102,80000,"Smith","James","Conference","Proposal","Hunter","Wonderful Enterprises LLP",2017-09-11,0
"44",48428998,80000,"el-Meer","Morgan","Email","Closed Lost","Shay","Popular Enterprises LLC",2012-11-16,0
"45",63146551,60000,"Nguyen","Alexis","Email","Suspect","Hunter","Wonderful Services LLP",2016-10-12,0
"46",43710212,100000,"Barela","Noel","Conference","Prospect","Shay","Popular Partners Inc.",2012-05-11,0
"47",32364242,30000,"Yazzie","Tin Wan","Social","Proposal","Johnson","Popular Services LLC",2016-08-25,0
"48",74284464,100000,"Crosby","Mckinzie","Trade Show","Suspect","Angelo","Wonderful Partners LLC",2015-12-30,0
"49",12039108,40000,"Ferrufino","Amanda","Conference","Closed Won","Johnson","Popular Goods Inc.",2016-05-07,1
"50",93390113,70000,"Sinner","Raudel","Social","Negotiation","Victor","Popular Partners LLC",2013-05-11,0
"51",23343342,70000,"el-Mansoor","Zacharis","Webinar","Closed Won","Johnson","Popular Enterprises Inc.",2012-03-29,1
"52",6589126,50000,"Tat","Kevin","Trade Show","Negotiation","Victor","Wonderful Enterprises LLC",2014-04-25,0
"53",88762921,40000,"Diawara","Audra","Social","Prospect","Victor","Popular Goods Inc.",2012-11-24,0
"54",51674615,60000,"Yardley","Megan","Paid Ads","Prospect","Hunter","Wonderful Partners LLC",2017-10-03,0
"55",35828440,40000,"Chuong","Vinhcynt","Webinar","Closed Lost","Johnson","Popular Enterprises LLC",2014-01-21,0
"56",779951,40000,"el-Imam","Saqr","Webinar","Lead","Angelo","Great Goods Inc.",2012-04-23,0
"57",93909157,50000,"Schuebel","Andrew","Web","Closed Won","Johnson","Wonderful Enterprises LLC",2014-06-22,1
"58",11665926,40000,"Trejo-Olmeda","Dakota","Email","Lead","Angelo","Great Enterprises LLP",2014-09-05,0
"59",43621979,40000,"Roybal","Kanani","Trade Show","Opportunity","Hunter","Wonderful Enterprises LLP",2017-09-08,0
"60",59506387,60000,"Hutchins","Dreanna","Webinar","Closed Won","Hunter","Popular Services LLC",2012-12-03,1
"61",51197661,40000,"al-Hamady","Afeefa","Webinar","Prospect","Hunter","Popular Services Inc.",2014-07-30,0
"62",1857510,30000,"al-Mahdi","Clara","Social","Negotiation","Angelo","Wonderful Goods LLP",2013-02-14,0
"63",86299327,90000,"Tafoya","Dakota","Conference","Prospect","Shay","Popular Partners Inc.",2013-02-19,0
"64",47031928,60000,"el-Nasir","Zuhair","Trade Show","Negotiation","Rachelle","Wonderful Partners Inc.",2014-08-03,0
"65",9325924,30000,"Respass","Ryan","Webinar","Closed Won","Victor","Popular Partners LLP",2014-04-29,1
"66",5475100,70000,"el-Hammoud","Fawqiyya","Web","Proposal","Hunter","Popular Products LLC",2016-11-23,0
"67",68487910,10000,"Rodriguez","Autryana","Conference","Suspect","Angelo","Wonderful Enterprises LLP",2014-10-27,0
"68",77867872,50000,"Bashir","Micah","Trade Show","Closed Won","Rachelle","Great Enterprises LLC",2014-12-18,1
"69",45527585,10000,"Stencel","Obed","Trade Show","Proposal","Haamida","Wonderful Goods LLP",2012-03-19,0
"70",13080302,100000,"el-Niazi","Marche","Social","Negotiation","Shay","Great Goods LLP",2015-09-04,0
"71",61407916,50000,"Kusupati","Kwame","Social","Closed Lost","Hunter","Wonderful Services Inc.",2012-06-01,0
"72",8286172,90000,"Kuhn","Keith","Paid Ads","Closed Won","Angelo","Popular Enterprises LLC",2013-03-02,1
"73",93526223,70000,"Malik","Tricia","Paid Ads","Closed Won","Angelo","Wonderful Services LLP",2017-03-02,1
"74",39034813,100000,"Song","Sierra","Social","Suspect","Rachelle","Wonderful Goods LLC",2016-03-02,0
"75",19632284,40000,"Estrellado","Blake","Conference","Proposal","Shay","Great Goods LLP",2016-05-12,0
"76",49689035,50000,"Perry","Rumaana","Web","Closed Won","Hunter","Great Products LLC",2015-08-09,1
"77",48004953,40000,"al-Abdelrahman","Matthew","Social","Opportunity","Angelo","Great Partners LLC",2016-03-28,0
"78",4238076,70000,"Huff","Katherine","Social","Lead","Shay","Great Products LLP",2013-10-29,0
"79",72522397,90000,"el-Nassif","Muammar","Social","Prospect","Hunter","Popular Services LLP",2017-11-08,0
"80",26755342,70000,"Demaria","Luis","Paid Ads","Opportunity","Victor","Wonderful Products LLP",2017-09-07,0
"81",49181237,70000,"al-Reza","Sarah","Paid Ads","Closed Lost","Angelo","Popular Partners LLC",2014-01-20,0
"82",53172011,90000,"Jarrell","Karina","Webinar","Negotiation","Angelo","Wonderful Goods LLC",2013-07-03,0
"83",24723007,80000,"Richards","Wasmaaa","Social","Opportunity","Hunter","Wonderful Enterprises LLP",2014-11-05,0
"84",61397868,10000,"Valdespino","Brianna","Social","Proposal","Hunter","Great Goods Inc.",2017-07-02,0
"85",3619822,80000,"Briseno","Emoree","Web","Closed Lost","Victor","Popular Partners LLC",2013-11-07,0
"86",60293215,70000,"Vernon","Yenesis","Referral","Proposal","Haamida","Great Products LLP",2013-11-24,0
"87",11502456,20000,"Zhao","Darielle","Conference","Lead","Johnson","Popular Enterprises LLP",2013-05-15,0
"88",23208030,40000,"Lieb","Soren","Trade Show","Negotiation","Rachelle","Wonderful Enterprises Inc.",2014-12-14,0
"89",67979797,10000,"Pourier","Dexter","Social","Suspect","Haamida","Popular Goods LLP",2017-04-27,0
"90",38310496,100000,"Rodriquez","Michael","Paid Ads","Proposal","Haamida","Wonderful Goods LLP",2013-03-29,0
