FirstName,LastName,Gender,Title,CompanyName,AnnualRevenue,NumEmployees,DateLastContacted,CompanyLocation,EmailAddress,DealSize,Industry,NumOpens,DaysSince,DealStatus,SalesNotes
Faaiq,al-Kamel,0,Marketing Coordinator,TransCom Corp,91520161,4576,2024-06-10,South Korea,fal-kamel@transcomcorp.com,457601,Construction,29,45,Opportunity,
Zachary,Williams,0,Marketing Coordinator,EduSolve LLP,4646941,232,2024-04-19,Germany,zwilliams@edusolvellp.com,23235,Construction,74,97,Lead,"Attended Webinar and met with Director. They're exploring options to improve their data analytics capabilities and mentioned our competitor, IBM IX. Follow-up email sent. Cold call to Director at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with increased competition. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for Analytics Audit sent. Highlighted our experience in Education and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-23. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in data analytics capabilities."
Yao,Bui,1,Director,NetMart LLC,8380424,419,2024-04-03,USA,ybui@netmartllc.com,41902,Education,55,113,Lead,"Attended Industry Conference and met with Director. They're exploring options to improve their AI implementation and mentioned our competitor, Bain. Follow-up email sent. Attended Industry Conference and met with Director. They're exploring options to improve their AI implementation and mentioned our competitor, Bain. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing declining sales. They seem open to a strategic assessment. Proposal for Strategic Assessment sent. Highlighted our experience in Retail and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-08."
Sarah,Solorzano,1,Manager,EcoQuest Inc,31989648,1599,2024-02-19,South Korea,ssolorzano@ecoquestinc.com,159948,Wholesale Trade,30,157,Suspect,"Attended Industry Conference and met with Director. They're exploring options to improve their operational efficiency and mentioned our competitor, Bain. Follow-up email sent. Cold call to Director at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with declining sales. Shared our company overview and case studies relevant to their industry. Director is particularly interested in understanding how we measure ROI on our engagements. Budget constraints are a major concern. Exploring alternative solutions and scoping options to fit their financial limitations. Director requested a meeting to discuss expanding the project scope to include data visualization."
Kirsten,Adams,1,Marketing Associate,SuperCom Ltd,16369105,818,2024-03-08,Canada,kadams@supercomltd.com,81846,Transportation,46,139,Prospect,"Attended Trade Show and met with CFO. They're exploring options to improve their change management and mentioned our competitor, KPMG. Follow-up email sent. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with increased competition."
Brandon,Tang,0,CEO,InfoLogix Corp,94017208,4701,2024-01-28,Mexico,btang@infologixcorp.com,470086,Construction,49,179,Suspect,"Attended Trade Show and met with Manager. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Attended Trade Show and met with Manager. They're exploring options to improve their AI implementation and mentioned our competitor, IBM IX. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing difficulty adapting to remote work. They seem open to a strategic assessment. Follow-up call after proposal submission. Manager had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in AI implementation."
Jewel,Vialpando,1,Director,InfoNet Corp,75832033,3792,2024-07-01,Ukraine,jvialpando@infonetcorp.com,379160,Manufacturing,56,24,Closed Won,"Attended Networking Event and met with VP. They're exploring options to improve their customer experience and mentioned our competitor, KPMG. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our analytics consulting. Scheduled a discovery call for 2024-08-18 to discuss their specific needs. Competitor, KPMG, is also bidding for this project. We need to emphasize our unique strengths and tailor our approach to win this deal. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Abbaas,al-Jabour,0,Director,FarmComp Corp,66045465,3302,2024-07-06,Brazil,aal-jabour@farmcompcorp.com,330227,Professional,78,19,Closed Won,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with cost reduction. Follow-up call after proposal submission. CFO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Competitor, Bain, is also bidding for this project. We need to emphasize our unique strengths and tailor our approach to win this deal. CFO requested a meeting to discuss expanding the project scope to include AI image generation."
Ved,Dacuba,0,Director,AIQuest Ltd,48866227,2443,2024-05-20,Mexico,vdacuba@aiquestltd.com,244331,Wholesale Trade,42,66,Opportunity,"Attended Coregistration Event and met with Director. They're exploring options to improve their customer experience and mentioned our competitor, Bain. Follow-up email sent. Attended Coregistration Event and met with Director. They're exploring options to improve their customer experience and mentioned our competitor, Bain. Follow-up email sent. Shared our company overview and case studies relevant to their industry. Director is particularly interested in understanding how we measure ROI on our engagements. Follow-up call after proposal submission. Director had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience."
Taariq,el-Guler,0,Manager,EcoQuest Group,84409080,4220,2024-04-07,Brazil,tel-guler@ecoquestgroup.com,422045,Information,67,109,Lead,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Attended Industry Conference and met with CFO. They're exploring options to improve their operational efficiency and mentioned our competitor, KPMG. Follow-up email sent. Follow-up call after proposal submission. CFO had some questions about the pricing model and deliverables timeline. Addressed their concerns and will revise the proposal accordingly. CFO requested a meeting to discuss expanding the project scope to include product market fit."
Nyasha,Webb,1,Marketing Associate,TechnoCom Inc,9242366,462,2024-02-15,Mexico,nwebb@technocominc.com,46212,Mining,4,161,Suspect,Cold call to VP at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with digital transformation. Initial outreach via LinkedIn. Prospect expressed interest in our marketing strategy. Scheduled a discovery call for 2024-08-06 to discuss their specific needs. Discovery call completed. Key takeaways: Prospect company is facing digital transformation. They seem open to a strategic assessment. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in change management.
Nabeeha,al-Assad,1,Manager,TechnoComp LLC,12635027,632,2024-02-13,Canada,nal-assad@technocompllc.com,63175,Finance,22,163,Suspect,"Attended Industry Conference and met with CFO. They're exploring options to improve their profit margins and mentioned our competitor, IBM IX. Follow-up email sent. Initial outreach via LinkedIn. Prospect expressed interest in our data science consulting. Scheduled a discovery call for 2024-08-15 to discuss their specific needs. Shared our company overview and case studies relevant to their industry. CFO is particularly interested in understanding how we measure ROI on our engagements. Proposal for Digital Transformation Roadmap sent. Highlighted our experience in Technology and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-15. Strong buy-in from the prospect team. They're impressed with our consultant's expertise and proactive communication."
Emily,Desantis,1,Manager,TechnoSys Ltd,79984618,3999,2024-05-23,Canada,edesantis@technosysltd.com,399923,Finance,64,63,Opportunity,"Cold call to CFO at prospect company. Confirmed they're the decision-maker for consulting engagements. Brief discussion about their current challenges with difficulty adapting to remote work. Attended Industry Conference and met with CFO. They're exploring options to improve their profit margins and mentioned our competitor, McKinsey. Follow-up email sent. Sent a proposal request template for them to fill out to get a better sense of the scope of the project they envision and their budget. Proposal for Digital Transformation Roadmap sent. Highlighted our experience in Technology and the value proposition of our data-driven approach. Awaiting feedback by 2024-08-20. CFO requested a meeting to discuss expanding the project scope to include data visualization."
Alysse,Annamalai,1,Manager,UltraMart Ltd,71504328,3575,2024-06-21,USA,aannamalai@ultramartltd.com,357522,Education,2,34,Opportunity,"Attended Industry Conference and met with VP. They're exploring options to improve their customer experience and mentioned our competitor, Bain. Follow-up email sent. Attended Industry Conference and met with VP. They're exploring options to improve their customer experience and mentioned our competitor, Bain. Follow-up email sent. Discovery call completed. Key takeaways: Prospect company is facing cost reduction. They seem open to a strategic assessment. Positive feedback received on the latest deliverables. Prospect is seeing tangible improvements in customer experience."
