EmailAddress,NumOpens,DaysSince,DealSize
fal-kamel@transcomcorp.com,29,45,457601
zwilliams@edusolvellp.com,74,97,23235
ybui@netmartllc.com,55,113,41902
ssolorzano@ecoquestinc.com,30,157,159948
kadams@supercomltd.com,46,139,81846
btang@infologixcorp.com,49,179,470086
jvialpando@infonetcorp.com,56,24,379160
aal-jabour@farmcompcorp.com,78,19,330227
vdacuba@aiquestltd.com,42,66,244331
tel-guler@ecoquestgroup.com,67,109,422045
nwebb@technocominc.com,4,161,46212
nal-assad@technocompllc.com,22,163,63175
edesantis@technosysltd.com,64,63,399923
aannamalai@ultramartltd.com,2,34,357522
vgarcia@technosolvellc.com,16,180,486550
rchoi@ultramarketllc.com,62,68,480101
triedel@megasoftltd.com,9,142,128425
apham@supermarketllc.com,22,94,465011
odiaz@eduhardllp.com,34,153,387222
sberg@ecomarketinc.com,33,176,115152
gmartinez@superstorellc.com,67,33,324840
fpantoya@infohardllp.com,57,48,43904
zjones@transcompllc.com,15,138,238436
dmatt@aicompllp.com,65,59,86322
yel-farah@nethardltd.com,39,119,451775
bheimbach@superhardcorp.com,15,157,469351
kperez@megatechllc.com,41,82,478621
sparsons@aimartltd.com,13,36,476433
zel-ishmael@supersysgroup.com,20,112,96072
him@netstorecorp.com,11,52,318265
zel-shahan@ecomartcorp.com,15,88,376334
mhouse@highsysinc.com,54,161,385609
gpham@supersolveltd.com,38,42,246422
qbowman@transmartllc.com,6,69,426780
hal-obeid@globalwaregroup.com,43,55,66569
mel-jan@farmtechgroup.com,51,127,316763
wel-rizk@hightechcorp.com,66,113,27931
mrussell@globallogixllp.com,41,168,141497
asmith@farmmartcorp.com,15,54,261154
ply@ultrasoftgroup.com,43,168,31186
sdahm@megaquestltd.com,53,88,436450
swright@infostorellp.com,17,163,375253
nsaenz@securesyscorp.com,10,109,164434
jperez@globalcomllp.com,18,166,428025
jgomez@farmmartltd.com,19,9,198617
ael-ali@farmmartgroup.com,71,174,358262
ael-ghazi@ailogixgroup.com,59,127,272309
fbox@infomartllc.com,44,127,130145
jherrera@transhardinc.com,55,92,149146
sarroyo@supermartgroup.com,37,81,414408
bnobles@technomarketcorp.com,20,145,394041
cjackson@megahardgroup.com,31,118,440389
uel-rasheed@edusoftcorp.com,33,49,236097
afu@globalsolvellc.com,54,54,215304
nakina@ecomarketcorp.com,9,25,220152
jescoto@edumartllc.com,70,64,400661
jcurry@megamartllp.com,80,22,71296
jvalentine@megasoftllp.com,15,7,321632
hta@infonetllp.com,48,33,299666
hstein@superhardcorp.com,61,75,366238
qal-shahidi@highquestgroup.com,62,178,304727
sleahy@globalcompllp.com,12,93,81313
tta@ultranetgroup.com,67,117,376244
jferguson@globalsolveltd.com,76,57,461830
kyamada@infocomllp.com,2,170,433351
averde@ecohardllc.com,26,108,209813
dherrera@infomartcorp.com,43,168,436605
bvalentine@ecocompltd.com,12,43,227966
tel-abed@farmsysinc.com,22,134,284888
nel-hoda@ecomarketgroup.com,78,54,76688
sguo@technostoreinc.com,56,104,448178
joh@aistoregroup.com,60,55,223331
dwarren@highsysgroup.com,17,18,363108
mel-arshad@highcomgroup.com,48,24,151504
mgrimes@edutechinc.com,67,147,218784
mbickel@technowaregroup.com,45,138,285383
sroberts@securesysgroup.com,18,58,255669
syanito@highcompltd.com,61,98,416507
crodriguez@eduwareltd.com,47,92,258444
dal-mahmood@infonetgroup.com,32,180,139746
aferguson@ultraquestcorp.com,23,142,25185
lchang@ultramartcorp.com,51,23,35947
dleopold@megastorellc.com,57,71,397591
jfuino@highlogixgroup.com,79,50,286561
jedsall@infomarketllc.com,9,77,342132
mflores@netsoftcorp.com,60,116,263154
bmarcus@technotechgroup.com,14,116,385393
mchristie@securesoftcorp.com,78,74,499062
ll'hirondelle@infomarketcorp.com,34,75,422523
mburgos@infocompgroup.com,74,151,460188
bwilson@netstoreinc.com,62,25,301812
jangus@aimartinc.com,47,119,295780
kkilcrease@farmsyscorp.com,20,119,152024
kcastillo@infotechinc.com,59,100,334156
jbaker@megastoreinc.com,46,148,446284
amariman@farmhardcorp.com,55,39,22854
eprice@supercompcorp.com,54,26,312696
ijenkins@transsolvellc.com,12,25,199308
dsanvig@ecostorellp.com,37,84,412271
njohnson@supermarketinc.com,46,132,405285
qmiller@megatechcorp.com,69,106,90267
wfimbres@securelogixgroup.com,80,176,287567
sstowell@technonetinc.com,29,163,163419
ael-kader@infocomllp.com,48,122,473304
ial-sala@ultrastoregroup.com,20,53,102972
tbancroft@supertechllp.com,55,116,352749
cmack@securesoftllp.com,75,149,257467
tgore@ainetllp.com,41,62,304588
jbatt@netlogixltd.com,13,38,35264
wwiedman@technohardcorp.com,26,118,215179
lbauman@infocompllc.com,78,131,86514
thughes@megasoftllc.com,23,164,213130
cquintana@farmcominc.com,50,133,215131
devans@edunetllp.com,20,164,319498
hmelgares@ultrasolvecorp.com,20,57,59676
iel-yasin@securetechllp.com,22,107,52703
jalvarez@netlogixgroup.com,66,174,409138
mjohnson@ecosoftltd.com,27,99,8416
nal-saad@megamartinc.com,57,160,136255
jho@ainetinc.com,51,77,212043
